original_order,Image_name,prop_ungerminated,prop_chlorotic,,number_seeds,ungerminated_seeds,chlorotic_seedlings,anything_else_interesting,date
155,1-A-0190.jpg,0.466666667,0,,30,14,0,,1/1/2021
156,1-A-0191.jpg,0.266666667,0,,30,8,0,,1/1/2021
157,1-A-0192.jpg,0.133333333,0,,30,4,0,,1/1/2021
158,1-A-0217.jpg,0,0,,5,0,0,inverted seedlings,1/1/2021
159,1-A-0219.jpg,0.75,0,,4,3,0,,1/1/2021
160,1-A-0220.jpg,0.266666667,0.1,,30,8,3,inverted seedlings,1/1/2021
161,1-A-0221.jpg,0,0,,2,0,0,,1/1/2021
162,1-A-0222.jpg,0.066666667,0.066666667,,30,2,2,,1/1/2021
163,1-A-0223.jpg,0.166666667,0,,30,5,0,,1/1/2021
164,1-A-0224.jpg,0.133333333,0,,30,4,0,inverted seedlings,1/1/2021
165,1-A-0225.jpg,0.433333333,0,,30,13,0,,1/1/2021
166,1-A-0227.jpg,0,0.1,,30,0,3,corkscrew seedling,1/1/2021
167,1-A-0228.jpg,0,0,,4,0,0,,1/1/2021
168,1-A-0229.jpg,0,0,,30,0,0,inverted seedling,1/1/2021
169,1-A-0230.jpg,0.3,0.066666667,,30,9,2,,1/1/2021
170,1-A-0231.jpg,0.166666667,0.033333333,,30,5,1,white/pink,1/1/2021
171,1-A-0232.jpg,0.136363636,0,,22,3,0,moldy,1/1/2021
172,1-A-0233.jpg,0.066666667,0,,30,2,0,,1/1/2021
173,1-A-0234.jpg,0.033333333,0,,30,1,0,,1/1/2021
174,1-A-0235.jpg,0.117647059,0,,17,2,0,,1/1/2021
175,1-A-0236.jpg,0,0,,3,0,0,,1/1/2021
176,1-A-0237.jpg,0.285714286,0.19047619,,21,6,4,white/pink,1/1/2021
177,1-A-0238.jpg,0,0,,30,0,0,,1/1/2021
178,1-A-0240.jpg,0.1,0,,30,3,0,,1/1/2021
179,1-A-0241.jpg,0.233333333,0.1,,30,7,3,,1/1/2021
180,1-A-0242.jpg,0.333333333,0.133333333,,30,10,4,,1/1/2021
181,1-A-0243.jpg,0.266666667,0,,30,8,0,,1/1/2021
182,1-A-0244.jpg,0.1,0,,30,3,0,,1/1/2021
183,1-A-0246.jpg,0.133333333,0.133333333,,30,4,4,,1/1/2021
184,1-A-0247.jpg,0.066666667,0,,30,2,0,,1/1/2021
185,1-A-0248.jpg,0.666666667,0,,9,6,0,,1/1/2021
186,1-A-0249.jpg,0.133333333,0,,30,4,0,,1/1/2021
187,1-A-0251.jpg,0.52173913,0,,23,12,0,,1/1/2021
188,1-A-0252.jpg,0.1,0,,30,3,0,,1/1/2021
