"","inbred_name_vector","region","bp_count","bp_proportion","insertion_count","insertion_proportion","insertions_per_1kb"
"286","B76","UTR3",10917611,0.005,0,0,0
"287","B76","Intergenic",1895480830,0.889,58,0.598,3.05990960615518e-05
"288","B76","Not assigned",NA,NA,52,0.536,NA
"289","B77","Promoter",72627588,0.034,10,0.192,0.000137688725116412
"290","B77","UTR5",8484867,0.004,6,0.115,0.00070714131405949
"291","B77","Exon",40283128,0.019,1,0.019,2.4824288719585e-05
"292","B77","Intron",107881537,0.051,9,0.173,8.34248403413088e-05
"293","B77","UTR3",10917611,0.005,0,0,0
"294","B77","Intergenic",1895480830,0.889,26,0.5,1.37168361655232e-05
"295","B77","Not assigned",NA,NA,43,0.827,NA
"296","B79","Promoter",72627588,0.034,19,0.213,0.000261608577721182
"297","B79","UTR5",8484867,0.004,11,0.124,0.0012964257424424
"298","B79","Exon",40283128,0.019,1,0.011,2.4824288719585e-05
"299","B79","Intron",107881537,0.051,6,0.067,5.56165602275392e-05
"300","B79","UTR3",10917611,0.005,0,0,0
"301","B79","Intergenic",1895480830,0.889,52,0.584,2.74336723310465e-05
"302","B79","Not assigned",NA,NA,43,0.483,NA
"303","B84","Promoter",72627588,0.034,32,0.296,0.000440603920372517
"304","B84","UTR5",8484867,0.004,2,0.019,0.000235713771353163
"305","B84","Exon",40283128,0.019,4,0.037,9.92971548783401e-05
"306","B84","Intron",107881537,0.051,10,0.093,9.26942670458987e-05
"307","B84","UTR3",10917611,0.005,0,0,0
"308","B84","Intergenic",1895480830,0.889,60,0.556,3.16542373050536e-05
"309","B84","Not assigned",NA,NA,72,0.667,NA
"310","B97","Promoter",72627588,0.034,12,0.086,0.000165226470139694
"311","B97","UTR5",8484867,0.004,2,0.014,0.000235713771353163
"312","B97","Exon",40283128,0.019,1,0.007,2.4824288719585e-05
"313","B97","Intron",107881537,0.051,18,0.129,0.000166849680682618
"314","B97","UTR3",10917611,0.005,0,0,0
"315","B97","Intergenic",1895480830,0.889,106,0.763,5.59224859055947e-05
"316","B97","Not assigned",NA,NA,90,0.647,NA
"317","C103","Promoter",72627588,0.034,16,0.137,0.000220301960186259
"318","C103","UTR5",8484867,0.004,2,0.017,0.000235713771353163
"319","C103","Exon",40283128,0.019,0,0,0
"320","C103","Intron",107881537,0.051,18,0.154,0.000166849680682618
"321","C103","UTR3",10917611,0.005,0,0,0
"322","C103","Intergenic",1895480830,0.889,81,0.692,4.27332203618224e-05
"323","C103","Not assigned",NA,NA,45,0.385,NA
"324","C123","Promoter",72627588,0.034,13,0.108,0.000178995342651335
"325","C123","UTR5",8484867,0.004,16,0.133,0.00188571017082531
"326","C123","Exon",40283128,0.019,0,0,0
"327","C123","Intron",107881537,0.051,10,0.083,9.26942670458987e-05
"328","C123","UTR3",10917611,0.005,0,0,0
"329","C123","Intergenic",1895480830,0.889,81,0.675,4.27332203618224e-05
"330","C123","Not assigned",NA,NA,42,0.35,NA
"331","C49A","Promoter",72627588,0.034,8,0.131,0.000110150980093129
"332","C49A","UTR5",8484867,0.004,2,0.033,0.000235713771353163
"333","C49A","Exon",40283128,0.019,0,0,0
"334","C49A","Intron",107881537,0.051,5,0.082,4.63471335229493e-05
"335","C49A","UTR3",10917611,0.005,0,0,0
"336","C49A","Intergenic",1895480830,0.889,46,0.754,2.42682486005411e-05
"337","C49A","Not assigned",NA,NA,35,0.574,NA
"338","CH701-30","Promoter",72627588,0.034,9,0.15,0.000123919852604771
"339","CH701-30","UTR5",8484867,0.004,3,0.05,0.000353570657029745
"340","CH701-30","Exon",40283128,0.019,0,0,0
"341","CH701-30","Intron",107881537,0.051,5,0.083,4.63471335229493e-05
"342","CH701-30","UTR3",10917611,0.005,0,0,0
"343","CH701-30","Intergenic",1895480830,0.889,43,0.717,2.26855367352884e-05
"344","CH701-30","Not assigned",NA,NA,32,0.533,NA
"345","CH9","Promoter",72627588,0.034,16,0.193,0.000220301960186259
"346","CH9","UTR5",8484867,0.004,8,0.096,0.000942855085412653
"347","CH9","Exon",40283128,0.019,2,0.024,4.96485774391701e-05
"348","CH9","Intron",107881537,0.051,6,0.072,5.56165602275392e-05
"349","CH9","UTR3",10917611,0.005,0,0,0
"350","CH9","Intergenic",1895480830,0.889,51,0.614,2.69061017092956e-05
"351","CH9","Not assigned",NA,NA,28,0.337,NA
"352","CI187-2","Promoter",72627588,0.034,19,0.211,0.000261608577721182
"353","CI187-2","UTR5",8484867,0.004,1,0.011,0.000117856885676582
"354","CI187-2","Exon",40283128,0.019,1,0.011,2.4824288719585e-05
"355","CI187-2","Intron",107881537,0.051,15,0.167,0.000139041400568848
"356","CI187-2","UTR3",10917611,0.005,0,0,0
"357","CI187-2","Intergenic",1895480830,0.889,54,0.6,2.84888135745483e-05
"358","CI187-2","Not assigned",NA,NA,75,0.833,NA
"359","CI21E","Promoter",72627588,0.034,12,0.194,0.000165226470139694
"360","CI21E","UTR5",8484867,0.004,2,0.032,0.000235713771353163
"361","CI21E","Exon",40283128,0.019,0,0,0
"362","CI21E","Intron",107881537,0.051,5,0.081,4.63471335229493e-05
"363","CI21E","UTR3",10917611,0.005,0,0,0
"364","CI21E","Intergenic",1895480830,0.889,43,0.694,2.26855367352884e-05
"365","CI21E","Not assigned",NA,NA,18,0.29,NA
"366","CI28AGoodman-Buckler","Promoter",72627588,0.034,5,0.109,6.88443625582058e-05
"367","CI28AGoodman-Buckler","UTR5",8484867,0.004,4,0.087,0.000471427542706326
"368","CI28AGoodman-Buckler","Exon",40283128,0.019,1,0.022,2.4824288719585e-05
"369","CI28AGoodman-Buckler","Intron",107881537,0.051,4,0.087,3.70777068183595e-05
"370","CI28AGoodman-Buckler","UTR3",10917611,0.005,0,0,0
"371","CI28AGoodman-Buckler","Intergenic",1895480830,0.889,32,0.696,1.68822598960286e-05
"372","CI28AGoodman-Buckler","Not assigned",NA,NA,25,0.543,NA
"373","CI31A","Promoter",72627588,0.034,14,0.264,0.000192764215162976
"374","CI31A","UTR5",8484867,0.004,3,0.057,0.000353570657029745
"375","CI31A","Exon",40283128,0.019,0,0,0
"376","CI31A","Intron",107881537,0.051,4,0.075,3.70777068183595e-05
"377","CI31A","UTR3",10917611,0.005,0,0,0
"378","CI31A","Intergenic",1895480830,0.889,32,0.604,1.68822598960286e-05
"379","CI31A","Not assigned",NA,NA,25,0.472,NA
"380","CI3A","Promoter",72627588,0.034,9,0.196,0.000123919852604771
"381","CI3A","UTR5",8484867,0.004,4,0.087,0.000471427542706326
"382","CI3A","Exon",40283128,0.019,1,0.022,2.4824288719585e-05
"383","CI3A","Intron",107881537,0.051,7,0.152,6.48859869321291e-05
"384","CI3A","UTR3",10917611,0.005,0,0,0
"385","CI3A","Intergenic",1895480830,0.889,25,0.543,1.31892655437723e-05
"386","CI3A","Not assigned",NA,NA,39,0.848,NA
"387","CI64","Promoter",72627588,0.034,10,0.135,0.000137688725116412
"388","CI64","UTR5",8484867,0.004,2,0.027,0.000235713771353163
"389","CI64","Exon",40283128,0.019,2,0.027,4.96485774391701e-05
"390","CI64","Intron",107881537,0.051,6,0.081,5.56165602275392e-05
"391","CI64","UTR3",10917611,0.005,0,0,0
"392","CI64","Intergenic",1895480830,0.889,54,0.73,2.84888135745483e-05
"393","CI64","Not assigned",NA,NA,29,0.392,NA
"394","CI66","Promoter",72627588,0.034,13,0.213,0.000178995342651335
"395","CI66","UTR5",8484867,0.004,7,0.115,0.000824998199736071
"396","CI66","Exon",40283128,0.019,0,0,0
"397","CI66","Intron",107881537,0.051,3,0.049,2.78082801137696e-05
"398","CI66","UTR3",10917611,0.005,0,0,0
"399","CI66","Intergenic",1895480830,0.889,38,0.623,2.0047683626534e-05
"400","CI66","Not assigned",NA,NA,23,0.377,NA
"401","Ci7Goodman-Buckler","Promoter",72627588,0.034,10,0.217,0.000137688725116412
"402","Ci7Goodman-Buckler","UTR5",8484867,0.004,1,0.022,0.000117856885676582
"403","Ci7Goodman-Buckler","Exon",40283128,0.019,0,0,0
"404","Ci7Goodman-Buckler","Intron",107881537,0.051,6,0.13,5.56165602275392e-05
"405","Ci7Goodman-Buckler","UTR3",10917611,0.005,0,0,0
"406","Ci7Goodman-Buckler","Intergenic",1895480830,0.889,29,0.63,1.52995480307759e-05
"407","Ci7Goodman-Buckler","Not assigned",NA,NA,46,1,NA
"408","Ci90CGoodman-Buckler","Promoter",72627588,0.034,4,0.114,5.50754900465647e-05
"409","Ci90CGoodman-Buckler","UTR5",8484867,0.004,2,0.057,0.000235713771353163
"410","Ci90CGoodman-Buckler","Exon",40283128,0.019,0,0,0
"411","Ci90CGoodman-Buckler","Intron",107881537,0.051,4,0.114,3.70777068183595e-05
"412","Ci90CGoodman-Buckler","UTR3",10917611,0.005,0,0,0
"413","Ci90CGoodman-Buckler","Intergenic",1895480830,0.889,25,0.714,1.31892655437723e-05
"414","Ci90CGoodman-Buckler","Not assigned",NA,NA,34,0.971,NA
"415","Ci91BGoodman-Buckler","Promoter",72627588,0.034,12,0.188,0.000165226470139694
