"","inbred_name_vector","region","bp_count","bp_proportion","insertion_count","insertion_proportion","insertions_per_1kb"
"831","H49","Intron",107881537,0.051,7,0.084,6.48859869321291e-05
"832","H49","UTR3",10917611,0.005,0,0,0
"833","H49","Intergenic",1895480830,0.889,64,0.771,3.37645197920572e-05
"834","H49","Not assigned",NA,NA,42,0.506,NA
"835","H84","Promoter",72627588,0.034,14,0.161,0.000192764215162976
"836","H84","UTR5",8484867,0.004,9,0.103,0.00106071197108923
"837","H84","Exon",40283128,0.019,2,0.023,4.96485774391701e-05
"838","H84","Intron",107881537,0.051,8,0.092,7.41554136367189e-05
"839","H84","UTR3",10917611,0.005,0,0,0
"840","H84","Intergenic",1895480830,0.889,54,0.621,2.84888135745483e-05
"841","H84","Not assigned",NA,NA,59,0.678,NA
"842","H91","Promoter",72627588,0.034,12,0.109,0.000165226470139694
"843","H91","UTR5",8484867,0.004,8,0.073,0.000942855085412653
"844","H91","Exon",40283128,0.019,0,0,0
"845","H91","Intron",107881537,0.051,2,0.018,1.85388534091797e-05
"846","H91","UTR3",10917611,0.005,0,0,0
"847","H91","Intergenic",1895480830,0.889,88,0.8,4.64262147140786e-05
"848","H91","Not assigned",NA,NA,60,0.545,NA
"849","H95","Promoter",72627588,0.034,22,0.193,0.000302915195256106
"850","H95","UTR5",8484867,0.004,5,0.044,0.000589284428382908
"851","H95","Exon",40283128,0.019,1,0.009,2.4824288719585e-05
"852","H95","Intron",107881537,0.051,10,0.088,9.26942670458987e-05
"853","H95","UTR3",10917611,0.005,0,0,0
"854","H95","Intergenic",1895480830,0.889,76,0.667,4.00953672530679e-05
"855","H95","Not assigned",NA,NA,57,0.5,NA
"856","H99","Promoter",72627588,0.034,10,0.105,0.000137688725116412
"857","H99","UTR5",8484867,0.004,7,0.074,0.000824998199736071
"858","H99","Exon",40283128,0.019,2,0.021,4.96485774391701e-05
"859","H99","Intron",107881537,0.051,10,0.105,9.26942670458987e-05
"860","H99","UTR3",10917611,0.005,0,0,0
"861","H99","Intergenic",1895480830,0.889,66,0.695,3.4819661035559e-05
"862","H99","Not assigned",NA,NA,37,0.389,NA
"863","Hi27Goodman-Buckler","Promoter",72627588,0.034,11,0.147,0.000151457597628053
"864","Hi27Goodman-Buckler","UTR5",8484867,0.004,6,0.08,0.00070714131405949
"865","Hi27Goodman-Buckler","Exon",40283128,0.019,0,0,0
"866","Hi27Goodman-Buckler","Intron",107881537,0.051,8,0.107,7.41554136367189e-05
"867","Hi27Goodman-Buckler","UTR3",10917611,0.005,0,0,0
"868","Hi27Goodman-Buckler","Intergenic",1895480830,0.889,50,0.667,2.63785310875447e-05
"869","Hi27Goodman-Buckler","Not assigned",NA,NA,27,0.36,NA
"870","HP301","Promoter",72627588,0.034,20,0.253,0.000275377450232823
"871","HP301","UTR5",8484867,0.004,3,0.038,0.000353570657029745
"872","HP301","Exon",40283128,0.019,1,0.013,2.4824288719585e-05
"873","HP301","Intron",107881537,0.051,7,0.089,6.48859869321291e-05
"874","HP301","UTR3",10917611,0.005,0,0,0
"875","HP301","Intergenic",1895480830,0.889,48,0.608,2.53233898440429e-05
"876","HP301","Not assigned",NA,NA,53,0.671,NA
"877","I137TN","Promoter",72627588,0.034,8,0.119,0.000110150980093129
"878","I137TN","UTR5",8484867,0.004,2,0.03,0.000235713771353163
"879","I137TN","Exon",40283128,0.019,1,0.015,2.4824288719585e-05
"880","I137TN","Intron",107881537,0.051,5,0.075,4.63471335229493e-05
"881","I137TN","UTR3",10917611,0.005,0,0,0
"882","I137TN","Intergenic",1895480830,0.889,51,0.761,2.69061017092956e-05
"883","I137TN","Not assigned",NA,NA,27,0.403,NA
"884","i1677a","Promoter",72627588,0.034,15,0.19,0.000206533087674618
"885","i1677a","UTR5",8484867,0.004,3,0.038,0.000353570657029745
"886","i1677a","Exon",40283128,0.019,3,0.038,7.44728661587551e-05
"887","i1677a","Intron",107881537,0.051,9,0.114,8.34248403413088e-05
"888","i1677a","UTR3",10917611,0.005,0,0,0
"889","i1677a","Intergenic",1895480830,0.889,49,0.62,2.58509604657938e-05
"890","i1677a","Not assigned",NA,NA,39,0.494,NA
"891","I205","Promoter",72627588,0.034,11,0.167,0.000151457597628053
"892","I205","UTR5",8484867,0.004,3,0.045,0.000353570657029745
"893","I205","Exon",40283128,0.019,2,0.03,4.96485774391701e-05
"894","I205","Intron",107881537,0.051,10,0.152,9.26942670458987e-05
"895","I205","UTR3",10917611,0.005,0,0,0
"896","I205","Intergenic",1895480830,0.889,40,0.606,2.11028248700357e-05
"897","I205","Not assigned",NA,NA,48,0.727,NA
"898","I29","Promoter",72627588,0.034,12,0.174,0.000165226470139694
"899","I29","UTR5",8484867,0.004,3,0.043,0.000353570657029745
"900","I29","Exon",40283128,0.019,1,0.014,2.4824288719585e-05
"901","I29","Intron",107881537,0.051,8,0.116,7.41554136367189e-05
"902","I29","UTR3",10917611,0.005,0,0,0
"903","I29","Intergenic",1895480830,0.889,45,0.652,2.37406779787902e-05
"904","I29","Not assigned",NA,NA,69,1,NA
"905","IA2132Goodman-Buckler","Promoter",72627588,0.034,16,0.308,0.000220301960186259
"906","IA2132Goodman-Buckler","UTR5",8484867,0.004,2,0.038,0.000235713771353163
"907","IA2132Goodman-Buckler","Exon",40283128,0.019,1,0.019,2.4824288719585e-05
"908","IA2132Goodman-Buckler","Intron",107881537,0.051,4,0.077,3.70777068183595e-05
"909","IA2132Goodman-Buckler","UTR3",10917611,0.005,0,0,0
"910","IA2132Goodman-Buckler","Intergenic",1895480830,0.889,29,0.558,1.52995480307759e-05
"911","IA2132Goodman-Buckler","Not assigned",NA,NA,21,0.404,NA
"912","Ia5125","Promoter",72627588,0.034,12,0.19,0.000165226470139694
"913","Ia5125","UTR5",8484867,0.004,3,0.048,0.000353570657029745
"914","Ia5125","Exon",40283128,0.019,3,0.048,7.44728661587551e-05
"915","Ia5125","Intron",107881537,0.051,3,0.048,2.78082801137696e-05
"916","Ia5125","UTR3",10917611,0.005,0,0,0
"917","Ia5125","Intergenic",1895480830,0.889,42,0.667,2.21579661135375e-05
"918","Ia5125","Not assigned",NA,NA,46,0.73,NA
"919","IDS28","Promoter",72627588,0.034,6,0.146,8.2613235069847e-05
"920","IDS28","UTR5",8484867,0.004,2,0.049,0.000235713771353163
"921","IDS28","Exon",40283128,0.019,2,0.049,4.96485774391701e-05
"922","IDS28","Intron",107881537,0.051,8,0.195,7.41554136367189e-05
"923","IDS28","UTR3",10917611,0.005,0,0,0
"924","IDS28","Intergenic",1895480830,0.889,23,0.561,1.21341243002706e-05
"925","IDS28","Not assigned",NA,NA,18,0.439,NA
"926","IDS69","Promoter",72627588,0.034,6,0.062,8.2613235069847e-05
"927","IDS69","UTR5",8484867,0.004,3,0.031,0.000353570657029745
"928","IDS69","Exon",40283128,0.019,2,0.021,4.96485774391701e-05
"929","IDS69","Intron",107881537,0.051,13,0.135,0.000120502547159668
"930","IDS69","UTR3",10917611,0.005,0,0,0
"931","IDS69","Intergenic",1895480830,0.889,72,0.75,3.79850847660643e-05
"932","IDS69","Not assigned",NA,NA,60,0.625,NA
"933","IDS91","Promoter",72627588,0.034,5,0.068,6.88443625582058e-05
"934","IDS91","UTR5",8484867,0.004,4,0.054,0.000471427542706326
"935","IDS91","Exon",40283128,0.019,3,0.041,7.44728661587551e-05
"936","IDS91","Intron",107881537,0.051,3,0.041,2.78082801137696e-05
"937","IDS91","UTR3",10917611,0.005,0,0,0
"938","IDS91","Intergenic",1895480830,0.889,59,0.797,3.11266666833027e-05
"939","IDS91","Not assigned",NA,NA,60,0.811,NA
"940","Il101","Promoter",72627588,0.034,14,0.212,0.000192764215162976
"941","Il101","UTR5",8484867,0.004,1,0.015,0.000117856885676582
"942","Il101","Exon",40283128,0.019,1,0.015,2.4824288719585e-05
"943","Il101","Intron",107881537,0.051,8,0.121,7.41554136367189e-05
"944","Il101","UTR3",10917611,0.005,0,0,0
"945","Il101","Intergenic",1895480830,0.889,42,0.636,2.21579661135375e-05
"946","Il101","Not assigned",NA,NA,27,0.409,NA
"947","Il14H","Promoter",72627588,0.034,24,0.231,0.000330452940279388
"948","Il14H","UTR5",8484867,0.004,5,0.048,0.000589284428382908
"949","Il14H","Exon",40283128,0.019,3,0.029,7.44728661587551e-05
"950","Il14H","Intron",107881537,0.051,12,0.115,0.000111233120455078
"951","Il14H","UTR3",10917611,0.005,0,0,0
"952","Il14H","Intergenic",1895480830,0.889,60,0.577,3.16542373050536e-05
"953","Il14H","Not assigned",NA,NA,46,0.442,NA
"954","ILLHy","Promoter",72627588,0.034,16,0.198,0.000220301960186259
"955","ILLHy","UTR5",8484867,0.004,2,0.025,0.000235713771353163
"956","ILLHy","Exon",40283128,0.019,0,0,0
"957","ILLHy","Intron",107881537,0.051,5,0.062,4.63471335229493e-05
"958","ILLHy","UTR3",10917611,0.005,0,0,0
"959","ILLHy","Intergenic",1895480830,0.889,58,0.716,3.05990960615518e-05
"960","ILLHy","Not assigned",NA,NA,31,0.383,NA
"961","K148","Promoter",72627588,0.034,10,0.227,0.000137688725116412
"962","K148","UTR5",8484867,0.004,3,0.068,0.000353570657029745
"963","K148","Exon",40283128,0.019,1,0.023,2.4824288719585e-05
"964","K148","Intron",107881537,0.051,1,0.023,9.26942670458987e-06
"965","K148","UTR3",10917611,0.005,0,0,0
"966","K148","Intergenic",1895480830,0.889,29,0.659,1.52995480307759e-05
"967","K148","Not assigned",NA,NA,20,0.455,NA
"968","K4","Promoter",72627588,0.034,11,0.256,0.000151457597628053
"969","K4","UTR5",8484867,0.004,4,0.093,0.000471427542706326
"970","K4","Exon",40283128,0.019,1,0.023,2.4824288719585e-05
"971","K4","Intron",107881537,0.051,4,0.093,3.70777068183595e-05
"972","K4","UTR3",10917611,0.005,0,0,0
"973","K4","Intergenic",1895480830,0.889,23,0.535,1.21341243002706e-05
"974","K4","Not assigned",NA,NA,30,0.698,NA
"975","K55","Promoter",72627588,0.034,7,0.167,9.63821075814882e-05
"976","K55","UTR5",8484867,0.004,3,0.071,0.000353570657029745
"977","K55","Exon",40283128,0.019,1,0.024,2.4824288719585e-05
"978","K55","Intron",107881537,0.051,2,0.048,1.85388534091797e-05
"979","K55","UTR3",10917611,0.005,0,0,0
"980","K55","Intergenic",1895480830,0.889,29,0.69,1.52995480307759e-05
"981","K55","Not assigned",NA,NA,21,0.5,NA
"982","K64","Promoter",72627588,0.034,4,0.16,5.50754900465647e-05
"983","K64","UTR5",8484867,0.004,0,0,0
"984","K64","Exon",40283128,0.019,0,0,0
"985","K64","Intron",107881537,0.051,4,0.16,3.70777068183595e-05
"986","K64","UTR3",10917611,0.005,0,0,0
"987","K64","Intergenic",1895480830,0.889,17,0.68,8.96870056976519e-06
"988","K64","Not assigned",NA,NA,19,0.76,NA
"989","Ki11","Promoter",72627588,0.034,11,0.141,0.000151457597628053
"990","Ki11","UTR5",8484867,0.004,1,0.013,0.000117856885676582
"991","Ki11","Exon",40283128,0.019,3,0.038,7.44728661587551e-05
"992","Ki11","Intron",107881537,0.051,3,0.038,2.78082801137696e-05
"993","Ki11","UTR3",10917611,0.005,0,0,0
"994","Ki11","Intergenic",1895480830,0.889,60,0.769,3.16542373050536e-05
"995","Ki11","Not assigned",NA,NA,43,0.551,NA
"996","Ki14","Promoter",72627588,0.034,11,0.204,0.000151457597628053
"997","Ki14","UTR5",8484867,0.004,0,0,0
"998","Ki14","Exon",40283128,0.019,1,0.019,2.4824288719585e-05
"999","Ki14","Intron",107881537,0.051,6,0.111,5.56165602275392e-05
"1000","Ki14","UTR3",10917611,0.005,1,0.019,9.15951301067605e-05
"1001","Ki14","Intergenic",1895480830,0.889,35,0.648,1.84649717612813e-05
"1002","Ki14","Not assigned",NA,NA,32,0.593,NA
"1003","Ki2021","Promoter",72627588,0.034,8,0.157,0.000110150980093129
"1004","Ki2021","UTR5",8484867,0.004,1,0.02,0.000117856885676582
"1005","Ki2021","Exon",40283128,0.019,0,0,0
"1006","Ki2021","Intron",107881537,0.051,3,0.059,2.78082801137696e-05
"1007","Ki2021","UTR3",10917611,0.005,0,0,0
"1008","Ki2021","Intergenic",1895480830,0.889,39,0.765,2.05752542482849e-05
"1009","Ki2021","Not assigned",NA,NA,23,0.451,NA
"1010","Ki21","Promoter",72627588,0.034,13,0.134,0.000178995342651335
"1011","Ki21","UTR5",8484867,0.004,3,0.031,0.000353570657029745
"1012","Ki21","Exon",40283128,0.019,3,0.031,7.44728661587551e-05
"1013","Ki21","Intron",107881537,0.051,5,0.052,4.63471335229493e-05
"1014","Ki21","UTR3",10917611,0.005,0,0,0
"1015","Ki21","Intergenic",1895480830,0.889,73,0.753,3.85126553878152e-05
"1016","Ki21","Not assigned",NA,NA,57,0.588,NA
"1017","Ki43","Promoter",72627588,0.034,16,0.174,0.000220301960186259
"1018","Ki43","UTR5",8484867,0.004,2,0.022,0.000235713771353163
"1019","Ki43","Exon",40283128,0.019,2,0.022,4.96485774391701e-05
"1020","Ki43","Intron",107881537,0.051,5,0.054,4.63471335229493e-05
"1021","Ki43","UTR3",10917611,0.005,1,0.011,9.15951301067605e-05
"1022","Ki43","Intergenic",1895480830,0.889,66,0.717,3.4819661035559e-05
"1023","Ki43","Not assigned",NA,NA,59,0.641,NA
"1024","Ki44","Promoter",72627588,0.034,7,0.132,9.63821075814882e-05
"1025","Ki44","UTR5",8484867,0.004,1,0.019,0.000117856885676582
"1026","Ki44","Exon",40283128,0.019,0,0,0
"1027","Ki44","Intron",107881537,0.051,8,0.151,7.41554136367189e-05
"1028","Ki44","UTR3",10917611,0.005,0,0,0
"1029","Ki44","Intergenic",1895480830,0.889,37,0.698,1.95201130047831e-05
"1030","Ki44","Not assigned",NA,NA,33,0.623,NA
"1031","Ky21","Promoter",72627588,0.034,10,0.196,0.000137688725116412
"1032","Ky21","UTR5",8484867,0.004,0,0,0
"1033","Ky21","Exon",40283128,0.019,3,0.059,7.44728661587551e-05
"1034","Ky21","Intron",107881537,0.051,4,0.078,3.70777068183595e-05
"1035","Ky21","UTR3",10917611,0.005,0,0,0
"1036","Ky21","Intergenic",1895480830,0.889,34,0.667,1.79374011395304e-05
"1037","Ky21","Not assigned",NA,NA,38,0.745,NA
"1038","KY226","Promoter",72627588,0.034,8,0.127,0.000110150980093129
"1039","KY226","UTR5",8484867,0.004,7,0.111,0.000824998199736071
"1040","KY226","Exon",40283128,0.019,1,0.016,2.4824288719585e-05
"1041","KY226","Intron",107881537,0.051,3,0.048,2.78082801137696e-05
"1042","KY226","UTR3",10917611,0.005,1,0.016,9.15951301067605e-05
"1043","KY226","Intergenic",1895480830,0.889,43,0.683,2.26855367352884e-05
"1044","KY226","Not assigned",NA,NA,24,0.381,NA
"1045","KY228","Promoter",72627588,0.034,7,0.13,9.63821075814882e-05
"1046","KY228","UTR5",8484867,0.004,5,0.093,0.000589284428382908
"1047","KY228","Exon",40283128,0.019,1,0.019,2.4824288719585e-05
"1048","KY228","Intron",107881537,0.051,4,0.074,3.70777068183595e-05
"1049","KY228","UTR3",10917611,0.005,0,0,0
"1050","KY228","Intergenic",1895480830,0.889,37,0.685,1.95201130047831e-05
"1051","KY228","Not assigned",NA,NA,54,1,NA
"1052","L317","Promoter",72627588,0.034,8,0.167,0.000110150980093129
"1053","L317","UTR5",8484867,0.004,6,0.125,0.00070714131405949
"1054","L317","Exon",40283128,0.019,0,0,0
"1055","L317","Intron",107881537,0.051,5,0.104,4.63471335229493e-05
"1056","L317","UTR3",10917611,0.005,0,0,0
"1057","L317","Intergenic",1895480830,0.889,29,0.604,1.52995480307759e-05
"1058","L317","Not assigned",NA,NA,26,0.542,NA
"1059","L578","Promoter",72627588,0.034,13,0.131,0.000178995342651335
"1060","L578","UTR5",8484867,0.004,6,0.061,0.00070714131405949
"1061","L578","Exon",40283128,0.019,0,0,0
"1062","L578","Intron",107881537,0.051,14,0.141,0.000129771973864258
"1063","L578","UTR3",10917611,0.005,0,0,0
"1064","L578","Intergenic",1895480830,0.889,66,0.667,3.4819661035559e-05
"1065","L578","Not assigned",NA,NA,61,0.616,NA
"1066","M14","Promoter",72627588,0.034,21,0.253,0.000289146322744465
"1067","M14","UTR5",8484867,0.004,4,0.048,0.000471427542706326
"1068","M14","Exon",40283128,0.019,1,0.012,2.4824288719585e-05
"1069","M14","Intron",107881537,0.051,10,0.12,9.26942670458987e-05
"1070","M14","UTR3",10917611,0.005,0,0,0
"1071","M14","Intergenic",1895480830,0.889,47,0.566,2.4795819222292e-05
"1072","M14","Not assigned",NA,NA,64,0.771,NA
"1073","M162W","Promoter",72627588,0.034,10,0.122,0.000137688725116412
"1074","M162W","UTR5",8484867,0.004,6,0.073,0.00070714131405949
"1075","M162W","Exon",40283128,0.019,0,0,0
"1076","M162W","Intron",107881537,0.051,5,0.061,4.63471335229493e-05
"1077","M162W","UTR3",10917611,0.005,0,0,0
"1078","M162W","Intergenic",1895480830,0.889,61,0.744,3.21818079268045e-05
"1079","M162W","Not assigned",NA,NA,49,0.598,NA
"1080","M37W","Promoter",72627588,0.034,9,0.122,0.000123919852604771
"1081","M37W","UTR5",8484867,0.004,3,0.041,0.000353570657029745
"1082","M37W","Exon",40283128,0.019,0,0,0
"1083","M37W","Intron",107881537,0.051,11,0.149,0.000101963693750489
"1084","M37W","UTR3",10917611,0.005,0,0,0
"1085","M37W","Intergenic",1895480830,0.889,51,0.689,2.69061017092956e-05
"1086","M37W","Not assigned",NA,NA,22,0.297,NA
"1087","MEF156-55-2","Promoter",72627588,0.034,13,0.16,0.000178995342651335
"1088","MEF156-55-2","UTR5",8484867,0.004,4,0.049,0.000471427542706326
"1089","MEF156-55-2","Exon",40283128,0.019,0,0,0
"1090","MEF156-55-2","Intron",107881537,0.051,7,0.086,6.48859869321291e-05
"1091","MEF156-55-2","UTR3",10917611,0.005,0,0,0
"1092","MEF156-55-2","Intergenic",1895480830,0.889,57,0.704,3.00715254398009e-05
"1093","MEF156-55-2","Not assigned",NA,NA,59,0.728,NA
"1094","Mo17","Promoter",72627588,0.034,20,0.196,0.000275377450232823
"1095","Mo17","UTR5",8484867,0.004,6,0.059,0.00070714131405949
"1096","Mo17","Exon",40283128,0.019,1,0.01,2.4824288719585e-05
"1097","Mo17","Intron",107881537,0.051,4,0.039,3.70777068183595e-05
"1098","Mo17","UTR3",10917611,0.005,0,0,0
"1099","Mo17","Intergenic",1895480830,0.889,71,0.696,3.74575141443135e-05
"1100","Mo17","Not assigned",NA,NA,50,0.49,NA
"1101","Mo18W","Promoter",72627588,0.034,8,0.151,0.000110150980093129
"1102","Mo18W","UTR5",8484867,0.004,1,0.019,0.000117856885676582
"1103","Mo18W","Exon",40283128,0.019,0,0,0
"1104","Mo18W","Intron",107881537,0.051,8,0.151,7.41554136367189e-05
"1105","Mo18W","UTR3",10917611,0.005,0,0,0
"1106","Mo18W","Intergenic",1895480830,0.889,36,0.679,1.89925423830322e-05
"1107","Mo18W","Not assigned",NA,NA,24,0.453,NA
"1108","MO1W","Promoter",72627588,0.034,8,0.143,0.000110150980093129
"1109","MO1W","UTR5",8484867,0.004,1,0.018,0.000117856885676582
"1110","MO1W","Exon",40283128,0.019,0,0,0
"1111","MO1W","Intron",107881537,0.051,6,0.107,5.56165602275392e-05
"1112","MO1W","UTR3",10917611,0.005,0,0,0
"1113","MO1W","Intergenic",1895480830,0.889,41,0.732,2.16303954917866e-05
"1114","MO1W","Not assigned",NA,NA,39,0.696,NA
"1115","Mo24W","Promoter",72627588,0.034,6,0.158,8.2613235069847e-05
"1116","Mo24W","UTR5",8484867,0.004,1,0.026,0.000117856885676582
"1117","Mo24W","Exon",40283128,0.019,0,0,0
"1118","Mo24W","Intron",107881537,0.051,8,0.211,7.41554136367189e-05
"1119","Mo24W","UTR3",10917611,0.005,0,0,0
"1120","Mo24W","Intergenic",1895480830,0.889,23,0.605,1.21341243002706e-05
"1121","Mo24W","Not assigned",NA,NA,24,0.632,NA
"1122","Mo44","Promoter",72627588,0.034,2,0.074,2.75377450232823e-05
"1123","Mo44","UTR5",8484867,0.004,1,0.037,0.000117856885676582
"1124","Mo44","Exon",40283128,0.019,1,0.037,2.4824288719585e-05
"1125","Mo44","Intron",107881537,0.051,4,0.148,3.70777068183595e-05
"1126","Mo44","UTR3",10917611,0.005,0,0,0
"1127","Mo44","Intergenic",1895480830,0.889,19,0.704,1.0023841813267e-05
"1128","Mo44","Not assigned",NA,NA,9,0.333,NA
"1129","Mo45","Promoter",72627588,0.034,17,0.405,0.0002340708326979
"1130","Mo45","UTR5",8484867,0.004,4,0.095,0.000471427542706326
"1131","Mo45","Exon",40283128,0.019,0,0,0
"1132","Mo45","Intron",107881537,0.051,3,0.071,2.78082801137696e-05
"1133","Mo45","UTR3",10917611,0.005,0,0,0
"1134","Mo45","Intergenic",1895480830,0.889,18,0.429,9.49627119151609e-06
"1135","Mo45","Not assigned",NA,NA,24,0.571,NA
"1136","Mo46","Promoter",72627588,0.034,19,0.302,0.000261608577721182
"1137","Mo46","UTR5",8484867,0.004,3,0.048,0.000353570657029745
"1138","Mo46","Exon",40283128,0.019,0,0,0
"1139","Mo46","Intron",107881537,0.051,2,0.032,1.85388534091797e-05
"1140","Mo46","UTR3",10917611,0.005,0,0,0
"1141","Mo46","Intergenic",1895480830,0.889,39,0.619,2.05752542482849e-05
"1142","Mo46","Not assigned",NA,NA,34,0.54,NA
"1143","Mo47","Promoter",72627588,0.034,12,0.194,0.000165226470139694
"1144","Mo47","UTR5",8484867,0.004,6,0.097,0.00070714131405949
"1145","Mo47","Exon",40283128,0.019,0,0,0
"1146","Mo47","Intron",107881537,0.051,6,0.097,5.56165602275392e-05
"1147","Mo47","UTR3",10917611,0.005,0,0,0
"1148","Mo47","Intergenic",1895480830,0.889,38,0.613,2.0047683626534e-05
"1149","Mo47","Not assigned",NA,NA,58,0.935,NA
"1150","MoG","Promoter",72627588,0.034,12,0.3,0.000165226470139694
"1151","MoG","UTR5",8484867,0.004,1,0.025,0.000117856885676582
"1152","MoG","Exon",40283128,0.019,0,0,0
"1153","MoG","Intron",107881537,0.051,2,0.05,1.85388534091797e-05
"1154","MoG","UTR3",10917611,0.005,0,0,0
"1155","MoG","Intergenic",1895480830,0.889,25,0.625,1.31892655437723e-05
"1156","MoG","Not assigned",NA,NA,26,0.65,NA
"1157","Mp339","Promoter",72627588,0.034,11,0.208,0.000151457597628053
"1158","Mp339","UTR5",8484867,0.004,4,0.075,0.000471427542706326
"1159","Mp339","Exon",40283128,0.019,0,0,0
"1160","Mp339","Intron",107881537,0.051,8,0.151,7.41554136367189e-05
"1161","Mp339","UTR3",10917611,0.005,0,0,0
"1162","Mp339","Intergenic",1895480830,0.889,30,0.566,1.58271186525268e-05
"1163","Mp339","Not assigned",NA,NA,45,0.849,NA
"1164","MS1334","Promoter",72627588,0.034,4,0.058,5.50754900465647e-05
"1165","MS1334","UTR5",8484867,0.004,2,0.029,0.000235713771353163
"1166","MS1334","Exon",40283128,0.019,0,0,0
"1167","MS1334","Intron",107881537,0.051,5,0.072,4.63471335229493e-05
"1168","MS1334","UTR3",10917611,0.005,0,0,0
"1169","MS1334","Intergenic",1895480830,0.889,58,0.841,3.05990960615518e-05
"1170","MS1334","Not assigned",NA,NA,37,0.536,NA
"1171","MS153","Promoter",72627588,0.034,9,0.138,0.000123919852604771
"1172","MS153","UTR5",8484867,0.004,6,0.092,0.00070714131405949
"1173","MS153","Exon",40283128,0.019,3,0.046,7.44728661587551e-05
"1174","MS153","Intron",107881537,0.051,7,0.108,6.48859869321291e-05
"1175","MS153","UTR3",10917611,0.005,0,0,0
"1176","MS153","Intergenic",1895480830,0.889,40,0.615,2.11028248700357e-05
"1177","MS153","Not assigned",NA,NA,33,0.508,NA
"1178","Ms71","Promoter",72627588,0.034,54,0.238,0.000743519115628623
"1179","Ms71","UTR5",8484867,0.004,12,0.053,0.00141428262811898
"1180","Ms71","Exon",40283128,0.019,1,0.004,2.4824288719585e-05
"1181","Ms71","Intron",107881537,0.051,26,0.115,0.000241005094319337
"1182","Ms71","UTR3",10917611,0.005,1,0.004,9.15951301067605e-05
"1183","Ms71","Intergenic",1895480830,0.889,133,0.586,7.01668926928689e-05
"1184","Ms71","Not assigned",NA,NA,145,0.639,NA
"1185","Mt42","Promoter",72627588,0.034,11,0.136,0.000151457597628053
"1186","Mt42","UTR5",8484867,0.004,10,0.123,0.00117856885676582
"1187","Mt42","Exon",40283128,0.019,0,0,0
"1188","Mt42","Intron",107881537,0.051,5,0.062,4.63471335229493e-05
"1189","Mt42","UTR3",10917611,0.005,0,0,0
"1190","Mt42","Intergenic",1895480830,0.889,55,0.679,2.90163841962992e-05
"1191","Mt42","Not assigned",NA,NA,53,0.654,NA
"1192","N192","Promoter",72627588,0.034,11,0.133,0.000151457597628053
"1193","N192","UTR5",8484867,0.004,1,0.012,0.000117856885676582
"1194","N192","Exon",40283128,0.019,1,0.012,2.4824288719585e-05
"1195","N192","Intron",107881537,0.051,14,0.169,0.000129771973864258
"1196","N192","UTR3",10917611,0.005,0,0,0
"1197","N192","Intergenic",1895480830,0.889,56,0.675,2.954395481805e-05
"1198","N192","Not assigned",NA,NA,38,0.458,NA
"1199","N28Ht","Promoter",72627588,0.034,8,0.205,0.000110150980093129
"1200","N28Ht","UTR5",8484867,0.004,3,0.077,0.000353570657029745
"1201","N28Ht","Exon",40283128,0.019,1,0.026,2.4824288719585e-05
"1202","N28Ht","Intron",107881537,0.051,3,0.077,2.78082801137696e-05
"1203","N28Ht","UTR3",10917611,0.005,0,0,0
"1204","N28Ht","Intergenic",1895480830,0.889,24,0.615,1.26616949220214e-05
"1205","N28Ht","Not assigned",NA,NA,38,0.974,NA
"1206","N6","Promoter",72627588,0.034,25,0.248,0.000344221812791029
"1207","N6","UTR5",8484867,0.004,2,0.02,0.000235713771353163
"1208","N6","Exon",40283128,0.019,0,0,0
"1209","N6","Intron",107881537,0.051,10,0.099,9.26942670458987e-05
"1210","N6","UTR3",10917611,0.005,0,0,0
"1211","N6","Intergenic",1895480830,0.889,64,0.634,3.37645197920572e-05
"1212","N6","Not assigned",NA,NA,67,0.663,NA
"1213","NC222","Promoter",72627588,0.034,9,0.125,0.000123919852604771
"1214","NC222","UTR5",8484867,0.004,7,0.097,0.000824998199736071
"1215","NC222","Exon",40283128,0.019,0,0,0
"1216","NC222","Intron",107881537,0.051,8,0.111,7.41554136367189e-05
"1217","NC222","UTR3",10917611,0.005,0,0,0
"1218","NC222","Intergenic",1895480830,0.889,48,0.667,2.53233898440429e-05
"1219","NC222","Not assigned",NA,NA,42,0.583,NA
"1220","NC230","Promoter",72627588,0.034,9,0.167,0.000123919852604771
"1221","NC230","UTR5",8484867,0.004,3,0.056,0.000353570657029745
"1222","NC230","Exon",40283128,0.019,0,0,0
"1223","NC230","Intron",107881537,0.051,3,0.056,2.78082801137696e-05
"1224","NC230","UTR3",10917611,0.005,0,0,0
"1225","NC230","Intergenic",1895480830,0.889,39,0.722,2.05752542482849e-05
"1226","NC230","Not assigned",NA,NA,31,0.574,NA
"1227","NC232","Promoter",72627588,0.034,7,0.184,9.63821075814882e-05
"1228","NC232","UTR5",8484867,0.004,1,0.026,0.000117856885676582
"1229","NC232","Exon",40283128,0.019,2,0.053,4.96485774391701e-05
"1230","NC232","Intron",107881537,0.051,7,0.184,6.48859869321291e-05
"1231","NC232","UTR3",10917611,0.005,0,0,0
"1232","NC232","Intergenic",1895480830,0.889,21,0.553,1.10789830567688e-05
"1233","NC232","Not assigned",NA,NA,35,0.921,NA
"1234","NC236","Promoter",72627588,0.034,15,0.211,0.000206533087674618
"1235","NC236","UTR5",8484867,0.004,9,0.127,0.00106071197108923
"1236","NC236","Exon",40283128,0.019,1,0.014,2.4824288719585e-05
